artist,score,author
Cursive,6.8,Ian Cohen
T.I.,7.4,Stephen Kearse
Sheck Wes,8.2,Sheldon Pearce
Swearin’,7.4,Evan Rytlewski
Marie Davidson,7.8,Sophie Kemp 
Phosphorescent,7.6,Jesse Jarnow
"Lady Gaga, Bradley Cooper",7.4,Larry Fitzmaurice
High on Fire,7.8,Andy O'Connor
Bliss Signal ,6.9,Grayson Haver Currin
Nathan Bowles,7.7,Stephen M. Deusner
Fucked Up,7.3,Ian Cohen
The Joy Formidable,6.9,Stuart Berman
Maxwell,8.3,Brad Nelson
Madeline Kenney,7.2,Allison Hussey
J Dilla,8.5,Edwin “STATS” Houghton
Stereolab,7.7,Philip Sherburne
Foodman,7.5,Andy Beta
Author & Punisher,7.1,Brian Howe
"Ana da Silva, Phew",7.3,Sasha Geffen
Cat Power,7.4,Jayson Greene
Tom Petty,8.3,Sam Sodomsky
Marissa Nadler,7.2,Olivia Horn 
Sam Wilkes,7.3,Jay Balfour
Logic,5.5,Alphonse Pierre
Kevin Gates,6.9,Evan Rytlewski
Cécile McLorin Salvant,7.8,Stephen M. Deusner
SOB X RBE,7.7,Torii MacAdams
Fred Thomas,7.5,Ian Cohen
Haruomi Hosono,7.6,Kevin Lozano
Dean Blunt,5.3,Andy Beta
"Kode9, Burial",7.4,Philip Sherburne
Jlin,7.9,Ben Cardew
Brocker Way,7.1,Maggie Lange
Lala Lala ,7.5,Steven Arroyo
Lil Wayne,7.4,Evan Rytlewski
Mount Eerie,8.1,Nathan Reese
Viagra Boys,7.4,Nina Corcoran
Mudhoney,7.1,Stuart Berman
Maxwell,9.0,Jason King
Pinegrove,7.5,Quinn Moreland
Joe Strummer,8.0,Stephen Thomas Erlewine
Lupe Fiasco,6.2,Brian Josephs
Father,7.8,Briana Younger
Tim Hecker,8.5,Grayson Haver Currin
Mount Kimbie,7.5,Andy Beta
Roc Marciano,7.1,Sheldon Pearce
Brandon Coleman,6.7,Andy Beta
Metric,6.6,Katherine St. Asaph
Lonnie Holley,7.9,Allison Hussey
Ryan Hemsworth,7.4,Mehan Jayasuriya
Mutual Benefit,6.4,Arielle Gordon
BROCKHAMPTON,6.6,Reed Jackson
Richard Swift,8.0,Sam Sodomsky
Bhad Bhabie,5.5,Michelle Kim
Richard Reed Parry,7.7,Stuart Berman
Prince,8.5,Chris Randle
"YBN Nahmir , YBN Cordae, YBN Almighty Jay",7.3,Reed Jackson
MHD,7.5,Jonah Bromwich
Sumac,7.8,Grayson Haver Currin
The Field,8.0,Sasha Geffen
The Beta Band,8.4,Paul Thompson
Restorations,7.3,Ian Cohen
Ash Koosha,6.0,Ben Cardew
De La Soul,10.0,Jeff Chang
Joyce Manor,7.5,Larry Fitzmaurice
Mountain Man,7.6,Amanda Wicks
The Chills,7.5,Alfred Soto
Richard Thompson,7.9,Stephen M. Deusner
Christine and the Queens,7.9,Jamieson Cox
6LACK,6.1,Dean Van Nguyen
Bun B,7.8,Evan Rytlewski
Niagara,7.7,Philip Sherburne
Jungle,5.0,Evan Rytlewski
Altopalo,7.4,Marcus J. Moore
"Dave Rempis, Tomeka Reid, Joshua Abrams",7.4,Andy Beta
Wayne Shorter,7.5,Matthew Kassel
Noname,8.6,Briana Younger
Emma Louise,7.6,Jamieson Cox
Shinichi Atobe,8.0,Kevin Lozano
The Mountain Goats,7.4,Abigail Covington
Sandro Perri,8.1,Ryan Dombal
Jóhann Jóhannsson,7.7,Andy Beta
The Goon Sax,7.2,Nina Corcoran
Bob Moses,5.6,Ben Cardew
Aphex Twin,8.1,Philip Sherburne
Gazelle Twin,7.7,Louis Pattison
Orbital,6.0,Larry Fitzmaurice
Black Belt Eagle Scout,7.2,Maggie Lange
PJ Harvey,10.0,Judy Berman
Catherine Ribeiro + Alpes,8.3,Sam Sodomsky
Seinabo Sey,6.0,Katherine St. Asaph
Guerilla Toss,7.3,Margaret Farrell
Sarah Davachi,7.7,Philip Sherburne
Low,8.7,Rich Juzwiak
Dilly Dally,7.8,Jenn Pelly
Bob Seger & The Last Heard,8.2,Stephen Thomas Erlewine
Ava Luna,7.7,Maggie Lange
Octavian ,8.0,Ciaran Thapar
Amos Lee,7.0,Amanda Wicks
Slowthai ,7.8,Sheldon Pearce
Spiral Deluxe,5.9,Ben Cardew
The Blaze,5.7,Philip Sherburne
The O’My’s,6.4,Jonah Bromwich
Kilo Kish,7.7,Stephen Kearse
G Perico,6.7,Jackson Howard
Spiritualized,7.7,Grayson Haver Currin
Paul McCartney,5.8,Stephen Thomas Erlewine
Masego,7.3,Marcus J. Moore
Amnesia Scanner,7.5,Miles Bowe
Joey Purp,8.3,Sheldon Pearce
Pig Destroyer,8.1,Grayson Haver Currin
Oliver Coates,7.7,Philip Sherburne
Swamp Dogg,7.3,Stephen M. Deusner
T.I.,8.7,Stephen Kearse
Led Zeppelin,7.3,Jeremy Gordon
Ipek Gorgun,7.5,Marc Masters
Catherine Christer Hennix,7.2,Andy Beta
Thou,7.8,Dale W Eisinger
Yves Tumor,9.1,Jayson Greene
Waxahatchee,7.3,Olivia Horn 
Comethazine,2.6,Alphonse Pierre
Agent Sasco,6.5,Edwin “STATS” Houghton
Eminem,5.0,Marc Hogan
Four Tet,7.2,Andy Beta
Bruiser Brigade,7.4,Will Schube
Wilder Maker,6.6,Grayson Haver Currin
Armand Hammer,8.1,Paul A. Thompson
IDLES,6.8,Dale W Eisinger
Mogwai,6.9,Stuart Berman
Szun Waves,7.2,Piotr Orlov
Big Red Machine,7.0,Jeremy D. Larson
JEFF the Brotherhood,7.5,Stuart Berman
Anna Calvi,7.8,Cameron Cook
Mass Gothic,5.1,Sasha Geffen
"Milton Nascimento, Lô Borges",9.5,Andy Beta
The Band,9.4,Stephen Thomas Erlewine
Alice in Chains,5.7,Robert Ham
George Clanton ,7.3,Miles Bowe
Troye Sivan,7.5,Jamieson Cox
Iron & Wine,7.0,Stephen M. Deusner
"The Outfit, TX",7.4,Sheldon Pearce
Terry,7.3,Marc Masters
Jesus Piece,7.6,Andy O'Connor
Wild Nothing,6.3,Ian Cohen
White Denim,6.5,Larry Fitzmaurice
Pat Van Dyke,7.2,Jonah Bromwich
Pink Siifu,8.0,Jonah Bromwich
Nothing,7.1,Jenn Pelly
Uniform,7.6,Andy O'Connor
Third Eye Blind,4.0,Grayson Haver Currin
Devon Welsh,6.9,Evan Rytlewski
Bamba Pana,7.2,Philip Sherburne
Nef the Pharaoh,7.3,Dean Van Nguyen
Matthew “Doc” Dunn,8.0,Stuart Berman
Interpol,6.1,Ian Cohen
Fire-Toolz,7.1,Sasha Geffen
Ohmme,7.6,Maggie Lange
Cap’n Jazz,8.8,Ian Cohen
The Lemon Twigs,7.0,Sam Sodomsky
Innumerable Forms,7.5,Andy O'Connor
Maymind,7.2,Philip Sherburne
Blood Orange,7.6,Jason King
Anna Meredith,6.8,Jayson Greene
DonChristian,6.9,Briana Younger
Ekuka Morris Sirikiti,7.3,Andy Beta
Oh Sees,7.6,Stuart Berman
Hermit and the Recluse,8.0,Torii MacAdams
Gabriel Kahane,6.8,Grayson Haver Currin
Träden,6.8,Allison Hussey
Young Thug,7.3,Evan Rytlewski
Djrum,7.4,Andy Beta
Lori Scacco,7.3,Philip Sherburne
Sharp Veins,6.6,Miles Bowe
Ariana Grande,8.1,Jillian Mapes
Aminé,6.0,Sheldon Pearce
Conner Youngblood,7.2,Matthew Strauss
Iglooghost,7.2,Jay Balfour
Death Cab for Cutie,6.0,Larry Fitzmaurice
Rebel Wizard,7.8,Andy O'Connor
"Jess Sah Bi, Peter One",7.7,Madison Bloom
Odetta Hartman,8.0,Erin Osmon
The Prodigy,5.9,Jesse Dorris
Trevor Powers,7.4,Jayson Greene
